VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
BICYCLE,BROOKLYN,LARGE COM VEH(6 OR MORE TIRES),Unspecified
TAXI,MANHATTAN,OTHER,Unspecified
LIVERY VEHICLE,BRONX,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Backing Unsafely
PASSENGER VEHICLE,BROOKLYN,VAN,Failure to Yield Right-of-Way
PICK-UP TRUCK,MANHATTAN,PASSENGER VEHICLE,Unspecified
OTHER,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
BICYCLE,MANHATTAN,OTHER,Unspecified
PASSENGER VEHICLE,MANHATTAN,VAN,Other Vehicular
BICYCLE,MANHATTAN,VAN,Other Vehicular
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Turning Improperly
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Failure to Yield Right-of-Way
OTHER,MANHATTAN,PASSENGER VEHICLE,Other Vehicular
SMALL COM VEH(4 TIRES),BROOKLYN,PASSENGER VEHICLE,Driver Inattention/Distraction
BUS,BRONX,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Physical Disability
LARGE COM VEH(6 OR MORE TIRES),QUEENS,LARGE COM VEH(6 OR MORE TIRES),Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,SMALL COM VEH(4 TIRES),Turning Improperly
TAXI,MANHATTAN,PASSENGER VEHICLE,Traffic Control Disregarded
LIVERY VEHICLE,MANHATTAN,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,LARGE COM VEH(6 OR MORE TIRES),Unspecified
PASSENGER VEHICLE,BRONX,LIVERY VEHICLE,Prescription Medication
PASSENGER VEHICLE,MANHATTAN,UNKNOWN,Unspecified
VAN,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
OTHER,MANHATTAN,VAN,Unspecified
VAN,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
UNKNOWN,QUEENS,PASSENGER VEHICLE,Traffic Control Disregarded
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
SPORT UTILITY / STATION WAGON,BRONX,LARGE COM VEH(6 OR MORE TIRES),Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,TAXI,Unspecified
PASSENGER VEHICLE,MANHATTAN,TAXI,Driver Inattention/Distraction
BICYCLE,MANHATTAN,SPORT UTILITY / STATION WAGON,Failure to Yield Right-of-Way
VAN,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
SPORT UTILITY / STATION WAGON,STATEN ISLAND,PASSENGER VEHICLE,Pavement Slippery
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Failure to Yield Right-of-Way
PASSENGER VEHICLE,BROOKLYN,TAXI,Driver Inattention/Distraction
BUS,BRONX,SPORT UTILITY / STATION WAGON,Unspecified
